Type,Notice Type,Earliest publish date,Claim expires,Edition,Notice ID,Notice code
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562193,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562194,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562196,2452
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562197,2503
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562183,2452
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562215,2503
Corporate Insolvency,Appointment of Administrators,,,The London Gazette,4564321,2410
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562213,2503
Personal Insolvency,Discharge Order,,,The London Gazette,4562212,2515
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564322,2431
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564336,2431
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562188,2452
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562211,2503
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562186,2452
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564323,2443
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562192,2452
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562195,2503
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562177,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562178,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562179,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562180,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562181,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562182,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562184,2452
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562202,2503
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562187,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562185,2452
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562201,2503
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562203,2503
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562204,2503
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562205,2503
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562207,2503
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562206,2503
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562208,2503
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564329,2443
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564330,2431
Personal Insolvency,Bankruptcy Orders,,,The London Gazette,4562209,2503
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564332,2441
Corporate Insolvency,Notices to Creditors,,,The London Gazette,4564333,2433
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564335,2432
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564324,2443
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564327,2432
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564325,2431
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564372,2903
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562198,2452
Corporate Insolvency,Winding-Up Orders,,,The London Gazette,4562199,2452
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564345,2431
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564346,2432
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564347,2432
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564350,2432
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564326,2431
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564331,2443
Corporate Insolvency,Notices to Creditors,,,The London Gazette,4564337,2433
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564339,2431
Corporate Insolvency,Meetings of Creditors,,,The London Gazette,4564340,2442
Corporate Insolvency,Notice of Intended Dividends,,,The London Gazette,4564344,2406
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564341,2443
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564358,2443
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564359,2441
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564391,2903
Other Notices,Other Notices,,,The London Gazette,4523555,2301
Personal Legal,Changes of Name,,,The London Gazette,4564193,2901
Personal Legal,Changes of Name,,,The London Gazette,4564194,2901
Personal Legal,Changes of Name,,,The London Gazette,4564196,2901
Personal Legal,Changes of Name,,,The London Gazette,4564195,2901
Corporate Insolvency,Appointment of Liquidators,,,The London Gazette,4564199,2432
Personal Legal,Changes of Name,,,The London Gazette,4564197,2901
Personal Legal,Deceased Estates,,"
                                       ",The London Gazette,4564198,2903
Personal Legal,Deceased Estates,,"
                                       ",The London Gazette,4564200,2903
Corporate Insolvency,Notices to Creditors,,,The London Gazette,4564202,2433
Corporate Insolvency,Resolutions for Winding-up,,,The London Gazette,4564201,2431
Personal Legal,Deceased Estates,,"
                                       ",The London Gazette,4564203,2903
Personal Legal,Changes of Name,,,The London Gazette,4564205,2901
Personal Legal,Changes of Name,,,The London Gazette,4564207,2901
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4557928,2903
Personal Legal,Changes of Name,,,The London Gazette,4564208,2901
Personal Legal,Changes of Name,,,The London Gazette,4564210,2901
Personal Legal,Deceased Estates,,"
                                       ",The London Gazette,4564206,2903
Personal Legal,Changes of Name,,,The London Gazette,4564209,2901
Personal Legal,Deceased Estates,,"
                                       ",The London Gazette,4564204,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564407,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564410,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564408,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564481,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564449,2903
Personal Insolvency,Notice of Intended Dividend,28 February 2024,,The London Gazette,4564487,2509
Personal Insolvency,Notice of Intended Dividend,28 February 2024,,The London Gazette,4564483,2509
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564489,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564492,2903
Transport,Road Traffic Acts,,,The London Gazette,4564461,1501
Transport,Road Traffic Acts,,,The London Gazette,4564462,1501
Transport,Road Traffic Acts,,,The London Gazette,4564463,1501
Planning,Town and Country Planning,,,The London Gazette,4564464,1601
Transport,Road Traffic Acts,,,The London Gazette,4564466,1501
Planning,Town and Country Planning,,,The London Gazette,4564465,1601
Planning,Town and Country Planning,,,The London Gazette,4564467,1601
Planning,Town and Country Planning,,,The London Gazette,4564468,1601
Planning,Town and Country Planning,,,The London Gazette,4564469,1601
Transport,Road Traffic Acts,,,The London Gazette,4564470,1501
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564497,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564501,2903
Personal Insolvency,Notice of Intended Dividend,28 February 2024,,The London Gazette,4564503,2509
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564504,2903
Personal Insolvency,Notice of Intended Dividend,28 February 2024,,The London Gazette,4564505,2509
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564506,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564507,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564509,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564510,2903
Transport,Road Traffic Acts,,,The London Gazette,4564456,1501
Transport,Road Traffic Acts,,,The London Gazette,4564457,1501
Transport,Road Traffic Acts,,,The London Gazette,4564458,1501
Transport,Road Traffic Acts,,,The London Gazette,4564460,1501
Planning,Town and Country Planning,,,The London Gazette,4564476,1601
Transport,Road Traffic Acts,,,The London Gazette,4564475,1501
Transport,Road Traffic Acts,,,The London Gazette,4564459,1501
Other Notices,Other Notices,,,The London Gazette,4564474,2301
Corporate Insolvency,Petitions to Wind Up (Companies),28 February 2024,,The                     London Gazette                ,4564740,2450
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564744,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564743,2903
Personal Legal,Deceased Estates,28 February 2024,29 April 2024,The London Gazette,4564745,2903
